contextID,citationID,CONTENTS,LABELS
165876883,187678857,"straints. ISE does not support continuous-field planning. Existing algorithms for efficient replanning when changes occur in a graph include the D* family of algorithms (comprising D* [3], Delayed D* =-=[8]-=-, D* Lite [9], Field D* [2], E* [5], DD* Lite [10] and others) and Adaptive A* [11]. In the former family of algorithms, the number of nodes processed during replanning is limited by repairing only th",UNK_UNK
45152611,45976350,"ory is restricted to r items? Our algorithm needs O( N ? r ) queries and this is the best known. Curiously, the lower bound for deterministic algorithms in comparison query model is ?( N2 r ) queries =-=[34]-=- which is quadratically more. This suggests that our algorithm might be optimal in this setting as well. However, the only lower bound is the ?(N2/3 ) lower bound for algorithms with unrestricted memo",UNK_UNK
94509788,100740672,"Such methods do not take into accountsheight differences between plant communities. The height differences can besaccounted for by adding an obstacle drag at the transition of low to tall vegetations(=-=Klaassen and Claussen, 1994-=-). Such an approach has been executed using severalslevels of sophistication.sThe most simple algorithm to estimate the landscape roughness of a windbreaksnetwork, zom/h = 0.1 (Seguin and Gignoux, 197",UNK_UNK
119852347,134629126,"o smaller more manageable data sets that can fit in memory sosthat it is possible to apply the Bayesian separation process in parallel with minimal harm tosthe image quality and data integrity.sLeif (=-=Leif, 2007-=-) discusses how algorithms involving discretized polygon surfaces cansefficiently utilize the parallelism provided by clusters. In his work, Leif provides a generalsframework for representing polygona",UNK_UNK
53204076,53667029,"discrete nature of the D-theory degrees of freedom allows the application of very efficient cluster algorithms. The quantum Heisenberg model, for example, can be treated with a loop cluster algorithm =-=[12,18]-=-. Defining the path integral for discrete quantum systems does not even require discretization of the additional Euclidean dimension. This observation has led to a very efficient loop cluster algorith",UNK_UNK
198237325,234228178,"c and finish regions. 5.2.3 Data Race Detection The ESP-bags algorithm [28] is based on instrumenting load/store operations within async, finish and isolated regions. Similarly, the Permission Region =-=[37]-=- approach uses PIR support to insert ownership verification code automatically and to avoid false positive by analyzing the finish, async regions. All of these instrumentations are performed at the MP",UNK_UNK
2043571,1927441,"nting model also oers alternative explanations to some aspects of the human disocclusion process in vision psychology [9], including the entanglement illusions gathered and analyzed by Kanizsa ([9], [=-=13]-=-, [22]). Fig. 2 shows one example of TV inpainting for text removal. The main advantage of inpainting algorithms based on numerical PDE's, as Bertalmio et al. [3] pointed out, is the permission of a w",UNK_UNK
87450427,91613382,"d. (2) We evaluate our alias algorithm with respect to an optimization, redundant load elimination, and its upper bound, rather than us9 ing static measurements as used by most work on alias analysis =-=[2, 4, 6, 7, 9, 15, 20, 21, 22, 30, 32, 35]-=-. Our upper bound measurement is similar to Wall",UNK_UNK
119830703,134603617,"6) of the FLIP-type algorithm. These field variablessare evaluated at material points, and the resulting approach is applied to impact problemsswith elastic and elastic-plastic constitutive equations =-=[2]-=-s19 2.2 Material Point Method (MPM)sSulsky and Schreyer [5] presented the general description of the material pointsmethod (MPM), along with special considerations relevant to axisymmetric problems.sT",UNK_UNK
7603056,7264602,"th that of Split-Nesting, while if the length is a power of two, it is the polynomial transform based algorithm. In addition, although this method of extending Winograd's algorithms was alluded to in =-=[9]-=-, it was left undeveloped. 2 Preliminaries The companion matrix of a monic polynomial, M (s) = m 0 +m 1 s + \\Delta \\Delta \\Delta + mn\\Gamma1 s n\\Gamma1 + s n , is given by CM = 2 6 6 4 \\Gammam 0 1 \\Ga",UNK_UNK
168317311,191182905,"nt, which we use later in automated tracing techniques.  There exists a useful study on the performance of variants of the A* algorithm in path-finding that used biological image data as a test set [=-=Wink et al., 2000-=-]. The results in [Wink et al., 2000] suggest that performing a bi-directional version of A* search may improve performance in the 3D case where reciprocal intensities are used as the distance measure",UNK_UNK
173901353,199209036,"f they are not as accurate as likelihood-based methods, these algorithms are still widely used due to their speed and simplicity, as assessed by the high number of citations for Neighbor Joining (NJ, =-=Saitou and Nei 1987-=-; see also Studier and Keppler 1988): Approximately 2,000 in 2014 (Web of Science). NJ is a greedy algorithm that builds trees by iterative agglomeration of taxa. Gascuel and Steel (2006) showed that ",UNK_UNK
