contextID,citationID,CONTENTS,LABELS
30284349,29606713," for two stationary but nonwhite source signals generated by autoregressive (AR) models of order two and four. For these signals, algorithms that employ the nonstationarity property only such as [6], =-=[4]-=-, [7] when used with an estimate of the correlation matrix are not applicable. We therefore compare the OP and NOP algorithms, which are based on second-order statistics, with the normalized equivaria",UNK_UNK
126492651,142955346,"ons.sA number of scientists have studied the behavior of antssin foraging for food. Jean-Louis Deneubourg described asself-organizing behavior of ant colonies, where ants usedspheromone communication =-=[8]-=-. The idea of usingspheromone trails as a method of communicating through thesenvironment is the heart of the Ant Colony Optimizations(ACO) algorithm [9]. This algorithm has been used in asnumber of c",UNK_UNK
39578350,41107450,q. (2.23) is simplified to 1 p(Zi = 0 | N(i)) = H(Zi=1|N(i)) 1 ? 1 + e T ( H(Zi=1|N(i))?H(Zi=0|N(i)) ) (2.25) (2.26) The updating process from Z (k?1) to Z (k) is repeated until we get enough samples =-=[31]-=- to compute the ensemble in Eq. (2.21). Algorithm (1) shows a summary of steps taken by Gibbs sampler to generate a meaningful sample from the Gibbs probability distribution for a binary image. Algori,UNK_UNK
6453672,6215382,"los and Kovoor's work [47], Brucker reformulated a quadratic knapsack problem as a monotone piecewise ane equation and proposed a linear time algorithm for solving the monotone piecewise ane equation =-=[6-=-]; More and and Sorensen also pointed out in [41] that one cansnd a zero of a nondecreasing piecewise ane function in linear time. One application of thesnite line search algorithm is to solve the lea",UNK_UNK
92264152,97792259,"limatologiessConcurrent with the emplacement of the WSR-88D radar network was the initiation of assignificant effort to develop algorithms for the automated detection of severe weather hazardss(e.g., =-=Johnson et al. 1998-=-; Witt et al. 1998; Stumpf et al. 1998; Mitchell et al. 1998).sManysalgorithms based upon NIDS data are now operational in AWIPS, and stand-alone systems thatsutilize base data, such as the NSSL Warni",UNK_UNK
40389355,41994022," generation in the discussion section (see Sec. VII). However, for purposes of illustrating the use of minimal s-t cut analysis on the problem described in this paper, we implemented the algorithm of =-=[51]-=- to find all cut sets in the directed graph of the Markov chain presented in this paper. This algorithm has been proven to be able to find all minimal s-t cut sets between two vertices s and t in dire",UNK_UNK
39035036,40502342,"e interpreted as collections of Bayesian networks sharing identical graphic structures, e.g. epistemic irrelevance [7]. Here we adopt the concept of strong independence, which justifies our arguments =-=[9]-=-. 1vertices of the credal sets, e.g., branch and bound over credal nets [27, 28], hill-climbing over probability trees [25] or over compiled arithmetic circuits [26], etc. Another class of algorithms",UNK_UNK
81219445,84025121," channel may not minimize the total transmit power of the data communications. In order to minimize the transmit power penalty due to the fading correlation, we apply the route modification algorithm =-=[7]-=-. The rest of the paper is organized as follows. Sect. II presents the multi-hop H-S/MRC diversity and the transmit power analysis. In Sect. III, the power efficiency of multi-hop H-S/MRC is evaluated",UNK_UNK
14502237,13515741,"ure capable of representing imprecision that stems from imperfect segmentation? 1.2 Overview ofOur Approach Semantically precise image segmentation by an algorithm is very difficult [18], [26], [33], =-=[35]-=-. However, a single glance is sufficient for a human to identify circles, straight lines, and other complex objects in a collection of points and to produce a meaningful assignment between objects and",UNK_UNK
12119808,11342187,"e Expansion. Notice that Induction Variable Expansion combined with Modulo Variable Expansion will result in a transformation similar to Induction Variable Expansion, which is done for unrolled loops =-=[62]-=-. The algorithm for Induction Variable Reversal is presented in Figure 4.5. Note that the loop increment is a special case for Induction Variable Reversal since the loop increment is not a true post i",UNK_UNK
